english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
,,,,,,,
,,,,,,,
Assistant Chief Counsel ,,abogado del gobierno,,See 'Trial Attorney'.,,,
,,,,,,,
,,,,,,,
asylee,,asilado,,,,,
,,,,,,,
asylum,,Asilo,,,,,
,,,,,,,
asylum claim ,,"(asylum application) solicitud; (request for asylum) petición; (the story, arguments, and information presented in the application and evidence) pretensión, pretensiones, reclamar, reclamación",,"The application is the solicitud; the request for asylum would be a petición; a claim is what you're stating to be true. IJs frequently use this along the lines of ""Sir, I believe your claim,"" ""Ma'am, the type of fear you're claiming,"" and corresponds to the meaning of the term pretensión, or pretensiones. That said, it likely has to be reworked somewhat in Spanish. In the ACNUR manual, for example, renderings were offered using 'pretender', 'alegar', 'reclamar', 'invocar', and even 'hacer una denuncia'; choose carefully. See also 'claim'.",,,
,,,,,,,
,,,,,,,
Asylum Clock ,,acumulación de días; días transcurridos,,,,,
,,,,,,,
asylum interview ,,entrevista de asilo,,,,,
,,,,,,,
asylum officer,,funcionario de asilo,,See definitions for 'agent' and 'officer/official'.,,,
,,,,,,,
,,,,,,,
Asylum Unit,,Oficina de Asilo,,,,,
,,,,,,,
Attorney General,,"Procurador, Fiscal General",,"There is, of course, room for dialectical accommodation here; until recently, the Attorney General of Mexico was referred to as the Procurador General, and is now the Fiscal General. Some prominent interpreter trainers like to make a firm distinction between fiscales at a county or local level, and procuradores at a Federal level. That's fine for as far as it goes, but procurador means different things in different countries, so always keep an eye on context.",,,
,,,,,,,
,,,,,,,
attorney of record,,abogado que consta en el expediente; abogado representante; abogado oficial,,"Jowers provides interesting options regarding this concept in Spain, where often one employs two attorneys: one, a procurador, represents their client before a court in all pre-trial and administrative tasks; and the abogado or letrado who defends the client in court--in trial settings, for example. In other words, one specializes in procedural and paperwork issues, the other in oral argument and litigation (Jowers, 97). While interesting, this usage of procurador would be very confusing in the context of other countries' legal systems, where it may mean something more like prosecutor. There are additional uses, in Spain, Venezuela and elsewhere, of apoderado, but as this may come back into English as agent, among other uses, it is not appropriate here, either. Many law offices and agencies in the US like to use 'abogado oficial' for this phrase, but often in EOIR proceedings, it is heard when explaining that an attorney does, or does not, represent a respondent for a particular proceeding. For example, 'That's correct, ma'am, Atty Fulano is the attorney of record in your bond proceedings, but not in this, your immigration proceeding'. It may well be helpful to use a more explanatory translations in such situations.",,,
,,,,,,,
,,,,,,,
attorney-client privilege,,secreto profesional; secreto profesional del abogado,,"The phrase 'secreto profesional' refers to 'confidentiality' in general. Vease Jowers, p. 357. See also Article 134 of the Código de Procedimiento Penal de Perú, ""Igualmente se tomará juramento o promesa de honor al intérprete de que desempeñará fielmente el cargo y que guardará el secreto de la instructiva.""",,,
,,,,,,,
,,,,,,,
authorized fingerprinting center,,Centro autorizado para tomar huellas digitales,,,,,
,,,,,,,
authorized fingerprinting office,,Oficina autorizada para tomar huellas digitales,,,,,
,,,,,,,
authorized worker,,trabajador autorizado,,,,,
,,,,,,,
automated scheduling,,programación automatizada,,,,,
,,,,,,,
avenue of relief,,amparo posible,,,,,
,,,,,,,
backdated stamp ,,sello con fecha retroactiva,,,,,
,,,,,,,
background inquiry,,investigación de antecedentes,,,,,
