english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
imputed political opinion ,,opinión política imputada,,"Manual y directrices sobre procedimientos y criterios para determinar la condición de refugiado, p. 12, 26.",,,
,,,,,,,
,,,,,,,
in absentia order,,orden en ausencia,,,,,
,,,,,,,
incompetent,,"no capaz, sin capacidad; no mentalmente capaz, sin capacidad mental (suficiente); no capaz de ser procesado",,See 'competent'.,,,
,,,,,,,
,,,,,,,
in status,,con condición migratoria válida,,,,,
,,,,,,,
INA,,Ley de Inmigración y Nacionalidad,,,,,
,,,,,,,
inadmissible alien,,extranjero inadmisible,,,,,
,,,,,,,
income tax return,,declaración del impuestos,,As per IRS document 850. 'los taxes' is often heard.,,,
,,,,,,,
,,,,,,,
indictment ,,"acusación formal, imputación (Perú, Panamá) ",,"There is a differentiation to be made in English between 'information', issued by a Prosecutor (perhaps 'acusación fiscal', as said in Perú), and 'indictment', issued by the grand jury. If a differentiation is required, simply specify 'acusación formal del gran jurado/la fiscalía'. See 'charges' reference for more.",,,
,,,,,,,
,,,,,,,
"Individual calendar Hearing, individual hearing ",,audiencia individual,,"The full English phrase is 'individual hearing on the merits of your applications' (as per IJ DCW, 5-12-20); that would be 'audiencia individual sobre los méritos, el fondo de sus solicitudes'. See also 'merits hearing'.",,,
,,,,,,,
,,,,,,,
ineligible/ineligibility,,no cumple/incumplimiento con los requisitos,,,,,
,,,,,,,
injunction ,,"mandamiento, requerimiento judicial",,"Black's: ""A court order commanding or preventing an action."" A reading of entries in Ossorio regarding interdicto gives the clear impression that this term refers to injunctions issued specifically regarding property disputes, and doesn't appear to be more broadly applicable. Ossorio, ""Auto: ...En general se puede decir que, mientras la providencia afecta a cuestiones de mero trámite y la sentencia pone fin a la instancia o al juicio criminal, el auto resuelve cuestiones de fondo que se plantean antes de la sentencia."" In other words, any sort of finding or order that the judge makes before the sentencing or final decision period; this is too broad for the more specific meaning of injunction. A reading of entries regarding mandato in Ossorio shows that this term clearly corresponds to the English mandate. Ossorio de nuevo, ""Mandamiento: Orden que un juez o tribunal dicta, dentro de sus facultades, para que sea cumplida una decisión o se haga eficaz un acto procesal. En ese sentido se habla de mandamiento de pago, de embargo, de desalojo, etc."" This sounds close, although 'mandamiento judicial' has a highly specific meaning in Spanish civil law, again regarding property. However, ""Requerimiento: Acto judicial por el que se intima a alguien para que haga o deje de hacer una cosa. | Es también el aviso, manifestación o pregunta que se hace, generalmente bajo fe notarial, a alguna persona, exigiendo o buscando de ella que exprese y declare su actitud o su respuesta. Ofrece, pues, gran importancia en el Derecho Procesal."" Note that the second meaning of requerimiento is a specific one, referring essentially to subpoena powers (this usage also appears in broad use in the Spanish criminal code, for example) and could cause confusion depending on the context.",,,
,,,,,,,
,,,,,,,
INS (Immigration and Naturalization Service),,Servicio de Inmigración y Naturalización,,,,,
,,,,,,,
"inspected, admitted, or paroled (you were not) ",,"no pasó por inspección, ni le dieron permiso ni permiso condicional de entrar",,,,,
,,,,,,,
inspection,,"inspección, control",,,,,
,,,,,,,
Institutional Hearing Program ,,Programa de Audiencias en Penitenciarias,,,,,
,,,,,,,
intending immigrant ,,"que pretende emigrar, inmigrar",,"""Intending immigrant means any beneficiary of an immigrant visa petition filed under section 204 of the Act, including any alien who will accompany or follow-to-join the principal beneficiary."" 8 CFR § 213a.1 - Definitions. This term can be used both to describe a beneficiary of an immigrant visa (makes sense), as well as the beneficiary of a nonimmigrant visa who, the Government believes, has the intention to immigrate (permanently) to the United States, despite not having the right visa to do so.",,,
,,,,,,,
,,,,,,,
interactive scheduling,,programación interactiva,,,,,
,,,,,,,
interlocutory appeal ,,"recurso, apelación contra resoluciones interlocutorias",,"Keep in mind the subtleties of 'recurso' and 'apelación'. A 'recurso de apelación' is, by definition, an appeal to a court of higher instance; 'apelación' on its own is an elliptical reference to the same concept, and 'recurso', being the broader category, can also include 'recurso de apelación' in an elliptical sense. However, 'recursos' can also include what we would call in English 'motions to reconsider'; if an 'interlocutory appeal' is being discussed, it is by definition to a court of higher instance; if it isn't to a court of higher instance, it is more properly a motion to reconsider. https://legislacion.vlex.es/vid/ley-enjuiciamiento-civil-126688 Also, consider Ossorio's entry for 'Auto interlocutorio': ""El que no afecta a lo principal de una causa, por dictarse en un incidente o artículo de previo pronunciamiento. (v. AUTO DEFINITIVO)."" This corresponds quite clearly to, in Black's, both interlocutory injunction, which reroutes to preliminary injunction: ""A temporary injunction issued before or during trial to prevent an irreparable injury from occurring before the court has a chance to decide the case...""",,,
,,,,,,,
,,,,,,,
issue a deportation order ,,expedir/emitir una orden de deportación,,,,,
,,,,,,,
joint sponsor,,"patrocinador conjunto, compatrono",,"We see 'patrocinador conjunto' on USCIS' website; 'compatrono', generic term; 'copatrono' is a malformation.",,,
,,,,,,,
,,,,,,,
judgement ,,sentencia,,As per Staff Interpreter Miguel Valenzuela. See also 'Decisions and Appeals' reference for more.,,,
,,,,,,,
,,,,,,,
judicial discretion ,,discreción judicial,,,,,
,,,,,,,
judicial notice ,,hecho notorio,,"As per Jowers, p. 143, ""reconocer judicialmente como hecho notorio no necesitado de prueba"". Frequently collocated in English as take judicial notice, 'reconocer como hecho notorio'.",,,
,,,,,,,
,,,,,,,
jurisdiction,,"jurisdicción, competencia",,"At a denotative level, 'jurisdiction' has a fairly one-to-one match with 'jurisdicción', and in most cases is a safe bet. That said, keep in mind that in Spanish, 'jurisdicción' may be defined as 'la facultad de resolver un litigio', and 'competencia' as 'los límites de esa facultad' (vease diccionariojuridico.org, 'competencia'). Thus, for example, if an IJ is explaining, ""Your application is currently before USCIS, I don't have jurisdiction,"" or ""Your case is still before a different Immigration Court, a COV hasn't been granted, I don't have jurisdiction,"" it would be appropriate in Spanish to say no soy la juez competente or no tengo competencia rather than no tengo jurisdicción, as jurisdicción refers in its most specific meaning to the ability of the Judge to apply the law to the facts of a case. The Judge retains that ability, simply is unable to exercise it due to questions of competencia. See also competent, venue.",,,
,,,,,,,
,,,,,,,
K Fiancée/Fiancé Visa,,"visa, visado de comprometido, de novio(a)",,"As per USCIS, 'visa de prometido'.",,,
,,,,,,,
,,,,,,,
lack of apparent relief,,"falta, carece de amparo aparente",,,,,
,,,,,,,
lack of jurisdiction ,,"falta de jurisdicción, competencia; incompetente",,See 'jurisdiction'.,,,
,,,,,,,
,,,,,,,
law enforcement,,"(enforce or carry out the law) aplicar, cumplir con la ley; (ensure compliance with the law) hacer cumplir, cumplir con la ley; (police) la policía; (other law enforcement bodies in general) la autoridad, las autoridades; (the justice system) la justicia; (generic concept of legality and societal order) orden público",,"Etymologically speaking, 'enforce' is Latin, or at least has Latin roots, but originated either in Middle Ages French or Renaissance English, and was being used in the sense of 'ensure compliance with a law' as of the mid-1600s. Thus, though intuition would say that there must be a common root somewhere, the meaning of 'fuerza' and 'forzar' are far separated from the English meaning in this context, being far more physical in their connotative usage. 'enforce' is also a transitive verb, a situation which is not easily mirrored, either, in Spanish. Further complicating the issue is the broad euphemistic or metonymical usage of 'law enforcement' in English. As a blanket term, it is used to refer to any sort of body or agency which uses legally sanctioned force to ensure compliance with the law. Given English's syntactic flexibility, this presents the translator or interpreter frequently with the struggle of having to construct a significantly different sentence or work-around in Spanish in order to adequately express the English. Keep in mind as well the almost-homonymical phrase 'in force', which corresponds to 'en vigor'.",,,
,,,,,,,
,,,,,,,
Lawful Permanent Resident,,Residente Permanente Legal,,,,,
,,,,,,,
lawfully admitted,,admitido legalmente,,,,,
,,,,,,,
lay a proper foundation ,,"hacer una fundamentación adecuada, correcta",,"This refers to the legal requirement to show, through evidence, how a witness knows the thing to which they are testifying.",,,
,,,,,,,
,,,,,,,
leading case ,,caso principal,,See 'rider' for more.,,,
,,,,,,,
,,,,,,,
leading question ,,"pregunta sugestiva, pregunta que insinúa la respuesta",,"pregunta sugestiva, as per Jowers",,,
,,,,,,,
,,,,See 'Grounds' reference for more.,,,
legal grounds ,,fundamento legal,,,,,
,,,,,,,
legal status ,,condición (migratoria) legal,,"See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,,,,
legitimated,,legitimado,,"This refers to the official acknowledgment of parentage of a child, generally by the father, as the mother's identity is usually known, and is an equivalent concept and cognate in English and Spanish.",,,
,,,,,,,
,,,,,,,
LEP,,Dominio Limitado del inglés,,"This seems to be widespread usage coming from various reputable sources, such as the Connecticut judiciary and www.ed.gov",,,
,,,,,,,
,,,,,,,
LIFE,,"La Ley de Equidad Familiar en Inmigración Legal y Endmiendas, 2000",,The Legal Immigration Family Equity Act and Amendments of 2000.,,,
,,,,,,,
,,,,,,,
limitations on discretionary relief for failure to appear ,,"restricciones, limitaciones sobre el amparo discrecional debido a su incomparecencia",,,,,
,,,,,,,
list of free legal service providers,,lista de proveedores de servicios legales gratuitos,,"Keep in mind the need to adjust register depending on the respondent; given that this is generally brought up in a functional context (""Have you been given the list of free legal service providers?"") it may well be appropriate to simply ask ""¿Le han dado la lista de abogados gratuitos?""",,,
,,,,,,,
,,,,,,,
lodge a charge,,"tramitar (filings-escritos, application-solicitud); entablar (acusación en lo penal); imputar (imputación de expulsabilidad)",,See also 'submit'.,,,
,,,,,,,
,,"perder (la, su) condición migratoria",,"See 'adjustment of status', above, and 'Nationality and Status' reference for more.",,,
lose status,,,,,,,
,,,,,,,
lottery (immigration lottery),,Lotería de visados,,USCIS says 'Loteria': https://www.uscis.gov/es/tarjeta-verde/otras-maneras-de-obtenerla/loteria-de-diversidad/tarjeta-verde-a-traves-del-programa-de-visas-de-diversidad,,,
,,,,,,,
,,Residente Permanente Legal,,,,,
LPR,,,,,,,
Machine Readable Passport (MRP),,Pasaporte legible por máquina,,"A machine readable passport is simply a travel document that has information in it that can be processed by a machine. It is not 'new' technology. https://es.wikipedia.org/wiki/Datos_legibles_por_m%C3%A1quina Note that this is different from a digitally accessible document, which may in fact not even exist physically -- or it may have a physical and a digital component, such as the passports with a chip in them. These, in Spanish, are more likely to be called 'pasaportes digitales' or 'pasaportes electrónicos' (http://www.fnmt.es/productos-y-servicios/tarjetas-electronicas/documentos-de-identificacion/pasaporte-electronico), and in English are called 'Biometric Passports' https://en.wikipedia.org/wiki/Machine-readable_passport. See also for technical details https://www.icao.int/publications/pages/publication.aspx?docnum=9303",,,
,,,,,,,
,,,,,,,
Machine Readable Visa (MRV),,Visado legible por máqina,,see machine-readable passport,,,
,,,,,,,
,,,,,,,
maintenance of status and departure bond,,"fianza/caución para mantener su condición, situación (migratoria) y salida",,"See 'adjustment of status', above, and 'Nationality and Status' reference for more.",,,
,,,,,,,
,,,,,,,
make a finding ,,"emitir un fallo, hacer una determinación",,More research necessary re: finding-sentence-decision-resolution-writ-order,,,
,,,,,,,
,,,,,,,
mandatory detention,,detención obligatoria,,,,,
,,,,,,,
marital status,,Estado civil,,,,,
,,,,,,,
marriage fraud ,,"matrimonio falso, matrimonio fraudulento",,"There's an issue here, in that a 'sham marriage' is one entered into in order to commit 'marriage fraud': https://www.uscis.gov/news/news-releases/nearly-100-charged-massive-marriage-fraud-scheme See 'sham marriage' for more. This article, clearly on this topic, refers to 'falsedad documental': https://elpais.com/ccaa/2014/10/01/madrid/1412157933_106525.html?rel=mas See also the entry for Immigration Marriage Fraud Amendments of 1986.",,,
,,,,,,,
,,,,,,,
master calendar hearing ,,audiencia preliminar,,,,,
,,,,,,,
material facts ,,"hechos importantes, esenciales, pertinentes",,"As per the Rama Judicial de Puerto Rico, hechos pertinentes (Reglas de Evidencia, 2009); there also seems to be a broad use of this collocation in Spanish, and in legal doctrine, at least from Spain. See a very illuminating example here: https://confilegal.com/20180811-cuales-son-preguntas-inutiles-sugestivas-capciosas-en-un-juicio/ Although Jowers (386) gives pregunta impertinente as irrelevant question. Keep in mind that material facts are those that go, as they say, to the heart of the issue.",,,
,,,,,,,
,,,,,,,
material witness ,,"testigo directo, esencial",,See 'fact witness'.,,,
,,,,,,,
,,,,,,,
matter of discretion ,,"cuestión / asunto discrecional, un asunto a discreción del juez",,,,,
,,,,,,,
means-tested public benefits,,"examen de recursos económicos; prueba, comprobación de medios",,"A 'means test' is an examination of economic/financial resources carried out in order to determine whether someone qualifies to receive government assistance, whether disbursement for a specific purpose or in general. As per 8 CFR § 213a.1 - Definitions, it is defined as: ""Means-tested public benefit means either a Federal means-tested public benefit, which is any public benefit funded in whole or in part by funds provided by the Federal Government that the Federal agency administering the Federal funds has determined to be a Federal means-tested public benefit under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996, Public Law 104-193, or a State means-tested public benefit, which is any public benefit for which no Federal funds are provided that a State, State agency, or political subdivision of a State has determined to be a means-tested public benefit. No benefit shall be considered to be a means-tested public benefit if it is a benefit described in sections 401(b), 411(b), 422(b) or 423(d) of Public Law 104-193."" In itself, it is a term used in more 'meta' contexts--social science or policy documents, for example. This is borne out in Spanish as well as English, with most government websites describing public assistance talking about 'requisitos para percibir ayudas'. A fairly reliable source, a Guía práctica para responsabilidades de expedientes relativos al convenio de cobro de alimentos para los hijos de 2007 published by the Hague Conference on Private International Law, refers to this as ""examen de recursos económicos"". In a lack of an overwhelming consensus on the term, however, other options are not objectionable. ",,,
,,,,,,,
,,,,,,,
medical waiver ,,exención médica,,,,,
,,,,,,,
meet the burden of proof ,,cumplir con la carga de la prueba,,,,,
,,,,,,,
merits hearing ,,"audiencia sobre los méritos, el fondo de las solicitudes",,See 'individual hearing'.,,,
,,,,,,,
,,,,,,,
migrant worker ,,trabajador migratorio,,"As per UN, Convención internacional sobre la protección de los derechos de todos los trabajadores migratorios y de sus familiares",,,
,,,,,,,
,,,,,,,
moral character,,carácter moral,,"It has been argued that 'carácter' more often corresponds, in English, to 'personality'. It may be that in common speech, this is the primary meaning of the word. However, the RAE very clearly includes other usages, and the one meant by the English here is perfectly acceptable. See also 'good moral character'.",,,
,,,,,,,
,,,,,,,
moral turpitude,,"vileza, bajeza moral",,,,,
,,,,,,,
motion for change of venue,,"Petición, pedimento, moción para cambiar, cambio de fuero",,,,,
,,,,,,,
motion for continuance ,,"petición, pedimento para aplazar el caso",,,,,
,,,,,,,
motion for termination,,"pedimento, petición de cerrar, archivar, sobreseer (un caso); extinguir (la condición de asilado, DACA, o TPS)",,"A number of things can be 'terminated' in immigration proceedings: a case, asylee status, DACA, or TPS, for example. See also 'administrative closure'.",,,
,,,,,,,
,,Ley de Regularización Nicaragüense y de Amparo a Centroamerica,,"The English name of this law, the Nicaraguan Adjustment and Central American Relief Act, is both obtuse and precise. One might ask, do non-Nicaraguan Central Americans get different relief from Nicaraguans? Indeed; under NACARA, elegible Nicaraguans and Cubans are provided a route to adjustment; other Central Americans and people from Soviet Bloc countries were provided exemptions to certain continuous physical presence requirements. USCIS' translation of the name of this law is the Ley de Ajuste Nicaragüense y Ayuda a Centroamerica. Ignoring for a moment the issues surrounding 'ajuste' (see Nationality and Status reference for more), this law does not provide ayuda, which would be relief provided after a national disaster, or a war; this refers to immigration relief, so amparo (see entry for amparo for more).  ",,,
NACARA,,,,,,,
,,,,,,,
national,,"nacional (Mex), originario",,,,,
,,,,,,,
National Interest Waiver,,Exención por interés nacional,,"Translation as per USCIS. A National Interest Waiver is one category under which an alien may apply for an EB-2 visa; in other words, for whatever reason, it is in the national interest of the United States that an alien with a specific skill set or employment ability be granted a waiver and therefore a visa.",,,
,,,,,,,
,,,,,,,
National Visa Center (NVC),,"Centro Nacional de Visas, Visados",,,,,
,,,,,,,
nationality,,nacionalidad,,,,,
,,,,,,,
native,,nacional,,,,,
,,,,,,,
NATO (North Atlantic Treaty Organization) Official ,,"Agente, Oficial (depende del rango) del OTAN",,Véase officer/official.,,,
,,,,,,,
,,,,,,,
naturalization,,Naturalización,,,,,
,,,,,,,
naturalization application ,,Solicitud de naturalización,,,,,
,,,,,,,
naturalization ceremony,,ceremonía de naturalización,,,,,
,,,,,,,
naturalization certificate ,,certificado de naturalización,,,,,
,,,,,,,
nexus,,"nexo, conexión a",,,,,
,,,,,,,
non-immigrant,,"no residente, no inmigrante",,"A non-citizen who enters the United States temporarily for a specific period of time and purpose. This category includes foreign government officials, visitors for business and pleasure, students and temporary workers.",,,
,,,,,,,
,,,,,,,
non-immigrant visitor ,,"visitante no residente, no inmigrante",,,,,
,,,,,,,
non-permanent residents,,residentes no permanentes,,,,,
,,,,,,,
non-responsive answer,,Respuesta no responsiva,,See 'objections' for more.,,,
,,,,,,,
,,,,,,,
notario,,Notario,,"This Spanish term does get used in English, specifically to refer to 'persons who are Notaries Public who misrepresent their qualifications to Spanish-speaking persons in the United States and fraudulently represent them or present forms in Immigration proceedings'. If absolutely necessary (for example, ""Your Honor, it seems clear that this person was presenting himself as a notario""), you may need to add something: notario falso, fraudulento, or something of the type. After all, the misrepresentation is possible due to the fact that, in Spanish-speaking jursidictions, a notario frequently is someone who is either an attorney, or a civil servant, or both. The EOIR's official statement on the issue is here: https://www.justice.gov/eoir/nationalnotariosnotice072209spanish",,,
,,,,,,,
,,,,,,,
notary public,,"notario público, autenticador de firmas",,"If possible, make some sort of differentiation when notaries public, specifically, are being referred to, given that they are fundamentally different from a notario.",,,
,,,,,,,
,,,,,,,
notice of appeal ,,"aviso, notificación de apelación",,See 'appeal' for further discussion.,,,
,,,,,,,
,,,,,,,
notice of asylum-only hearing,,"aviso, notificación de una audiencia en un proceso exclusivamente, solamente de asilo",,"This refers to the situation that arises wherein a respondent is legally only eligible for asylum (previously removed but has returned claiming asylum and alleging changed circumstances, etc); hence, asylum-only.",,,
,,,,,,,
,,,,,,,
notice of consequences for failure to appear,,aviso/notificación de consecuencias por falta de comparecencia,,,,,
,,,,,,,
notice of consequences for failure to depart,,aviso/notificación de consecuencias por no cumplir con la orden de salida,,,,,
,,,,,,,
notice of consequences for failure to surrender to the Immigration and Naturalization Service for removal from the United States,,aviso/notificación de consecuencias por no entregarse al Servicio de Inmigración y Naturalización para su expulsión de los Estados Unidos,,,,,
,,,,,,,
notice of consequences for knowingly filing a frivolous asylum application,,aviso/notificación de consecuencias por presentar a sabiendas una solicitud de asilo que contiene falsedades,,,,,
,,,,,,,
notice of deportation hearing,,aviso/notificación de audiencia de deportación,,,,,
,,,,,,,
notice of entry of appearance as attorney,,"aviso/notificación de comparecencia, representación como abogado",,,,,
,,,,,,,
notice of hearing ,,aviso/notificación de una audiencia,,,,,
,,,,,,,
notice of intent to issue a final administrative deportation order (form I-851),,aviso/notificación de intención de emitir una orden administrativa de deportación final,,,,,
,,,,,,,
notice of intent to rescind,,aviso/notificación de rescindir,,,,,
,,,,,,,
notice of intention to rescind and request for hearing by alien,,aviso/notificación por parte del extranjero de rescindir y pedir una audiencia,,,,,
,,,,,,,
notice of privilege of counsel,, aviso/notificación sobre el privilegio de tener abogado,,,,,
,,,,,,,
notice of referral,, aviso/notificación de remisión,,,,,
,,,,,,,
notice of referral to immigration judge,, aviso/notificación de remisión a un juez de inmigración,,,,,
,,,,,,,
notice of removal hearing,,aviso/notificación de expulsión,,,,,
,,,,,,,
notice of review of claimed status,,"revisión de la condición reclamada, alegada, pretendida",,See 'claimed status review' for more discussion.,,,
,,,,,,,
,,,,,,,
notice to alien detained for exclusion hearing (Form I-122,,aviso/notificación a un extranjero detenido para su audiencia de expulsión (Formulario tipo I-122),,,,,
,,,,,,,
Notice to Appear (NTA),,aviso/notificación de comparecencia,,,,,
,,,,,,,
notice to appear for removal proceedings,,aviso/notificación de comparecencia para el proceso de expulsión,,,,,
,,,,,,,
oath of citizenship,,juramento de ciudadania,,,,,
,,,,,,,
occupation ,,"(job) empleo, trabajo; (career, field) ocupación, profesión",,,,,
,,,,,,,
off the record,,fuera del acta/fuera de actas,,,,,
,, ,,,,,
offense (criminal),,"(minor misdemeanor/ticket) infracción, multa; (misdemeanor) falta, delito menor, delito leve; (felony) delito, delito mayor; (""delito de sangre""--rape, murder, etc) crimen; (generic term) acto ilícito",,,,,
,,,,,,,
Office of Refugee Resettlement,,Oficina de Reasentamiento de Refugiados,,As per the agency itself. https://www.acf.hhs.gov/directorio-oficina-de-reasentamiento-de-refugiados,,,
,,,,,,,
,,,,,,,
Office of the Chief Immigration Judge (OCIJ) ,,Oficina del Juez Principal de Inmigración,,,,,
,,,,,,,
officer/official,,Funcionario (civil servant); Oficial (ranking military); agente (law enforcement),,,,,
,,,,,,,
one year rule,,plazo de un año,,,,,
,,,,,,,
opening argument,,alegato/declaración de apertura,,,,,
,,,,,,,
Operating Policies and Procedures Memorandum,,Memorandum de políticas y procesos vigentes,,,,,
,,,,,"Added 3-26-26, translation based entirely on my vibes. -OJLR",,
,,,,,,,
order to show cause,,Orden de presentar motivos justificantes y aviso de audiencia,,"In the immigration context, the OSC is an old form of what we know today as an 'NTA'; in particular, it is the I-221, for deportation. That form (conveniently bilingual) was titled, in Spanish, Orden de presentar motivos justificantes y aviso de audiencia.",,,
,,,,,,,
,,,,,,,
original document,,documento original,,,,,
,,,,,,,
orphan,,huérfano,,,,,
,,,,,,,
out of status,,Irregular,,"See undocumented. ""lapsed status"", essentially. https://www.gob.mx/tramites/identidad",,,
,,,,,,,
,,,,,,,
overruled objection,,"objección sin lugar, a la que no ha lugar",,,,,
,,,,,,,
overstay,,sobrepasar la estancia,,http://www.exteriores.gob.es/Consulados/LOSANGELES/es/InformacionParaExtranjeros/Paginas/PMFSchengen.aspx,,,
,,,,,,,
,,,,,,,
overturn,,"anular, revocar",,See 'Decisions and Appeals' reference for more.,,,
,,,,,,,
,,,,,,,
own recognizance,,bajo palabra,,,,,
,,,,,,,
panel physician ,,médico autorizado por el panel,,"As per the Department of State: https://travel.state.gov/content/travel/en/us-visas/inmigracion/visa-de-no-inmigrante-para-prometido-a--k-1-.html#7 Note that, here in the United States, the person who performs this exam would be denominated a 'civil surgeon'. Outside the United States, various embassies and consulates select a 'panel' of physicians that are authorized to do the exams. Hence ",,,
,,,,,,,
,,,,,,,
parole (advanced),,admisión condicional anticipada,,,,,
,,,,,,,
parole (immigration),,admisión condicional,,,,,
,,,,,,,
parolee,,persona admitida condicionalmente,,,,,
,,,,,,,
particular social group,,determinado grupo social,,"Vease el manual del ACNUR, también la European Asylum Support Office y sus recursos tremendos.",,,
,,,,,,,
,,,,,,,
particularly serious crime,,"un delito sumamente/particularmente grave, serio",,As per 8 U.S.C. § 1231(b)(3)(B).,,,
,,,,,,,
,,,,,,,
pattern and practice of persecution of similarly-situated individuals,,patrón y práctica de persecución de personas en situaciones parecidas,,,,,
,,,,,,,
PD (Prosecutorial Discretion),,(criminal) a discreción fiscal;  la discreción de no proseguir,,"The normal expression used by interpreters here in the US is something like 'a discreción fiscal' or 'a discreción del fiscal'; Spanish terms these abilities broadly as 'facultad(es) discrecional(es)' (Ossorio), or even 'discrecionalidad' (Principios de obligatoriedad y discrecionalidad en el ejercicio de la acción penal, Manuel Rodriguez Vega); usage of 'poder discrecional' appears often in translated texts. In all of these cases, the discretionality in question is that of the criminal prosecutor. As discussed elsewhere in the present resource (see Trial Attorney), DHS attorneys should not be considered an exact corollary of a criminal prosecutor. Therefore, to avoid referring, even elliptically, to DHS as a 'fiscal', other options are recommended.",,,
,,,,,,,
,,,,,,,
penalty,,pena; castigo; penalidad,,"The term 'pena' is a sufficiently generic that it is an appropriate go-to equivalent. However, there are many types of penalties, and other options, such as 'pena de multa' or just 'multa' may be appropriate as well.",,,
,,,,,,,
,,,,,,,
pending application,,solicitud pendiente,,,,,
,,,,,,,
permanent resident,,residente permanente,,See also Legal Permanent Resident (LPR).,,,
,,,,,,,
,,,,,,,
permanent resident alien,,extranjero residente permanente,,See also Legal Permanent Resident (LPR).,,,
,,,,,,,
,,,,,,,
personal vendetta,,vendetta personal,,,,,
,,,,,,,
petitioner,,solicitante,,,,,
,,,,,,,
photocopy,,"fotocopia, copia",,,,,
,,,,,,,
physical abuse,,"abuso, maltrato físico",,,,,
,,,,,,,
physical presence,,presencia física,,"One of the main criteria for 42-B relief, having been 'physically present' in the United States for 10 years prior to the issuance of the NTA.",,,
,,,,,,,
,,,,,,,
"plaintiff (civil, criminal)",,demandante,,,,,
,,,,,,,
plausible in light of country conditions,,"verosímil, en vista de las condiciones en el país",,"This is a difficult phrase. 'plausible' does exist in Spanish, though the RAE's definition indicates it's not a comfortable cognate: ""1. adj. Digno o merecedor de aplauso. 2. adj. Atendible, admisible, recomendable. Hubo para ello motivos plausibles."" 'posible', in the meantime, while an intuitive leap, would probably consitute an ethically dubious change of meaning in most circumstances. The European Asylum Support Office, in its training materials, uses the term 'verosímil'; while not the most everyday word, it seems an adequate equivalent, and is in use by practitioners in this field. See Guía Práctica de la EASO: Valoración de las Pruebas, p. 12.",,,
,,,,,,,
,,,,,,,
pleadings (to an NTA),,contestaciones (a un aviso de comparecencia),,,,,
,,,,,,,
police clearance letter,,"carta de no antecedentes policiales, penales",,https://consulmex.sre.gob.mx/houston/index.php/regcivilpoderes/contanciaantecedentespenales; https://www.tramitescoahuila.gob.mx/tr%C3%A1mites-de-aytos.-municipales/ayto.-municipal-de-torre%C3%B3n/carta-de-no-antecedentes-policiales.html,,,
,,,,,,,
,,,,,,,
police record,,"antecedentes policiacos, penales",,See 'police clearance letter' ,,,
,,,,,,,
,,,,,,,
political asylum,,asilo político,,,,,
,,,,,,,
political beliefs,,creencias políticas,,,,,
,,,,,,,
political crimes,,delitos políticos,,,,,
,,,,,,,
polygamy,,poligamia,,,,,
,,,,,,,
port of arrival,,puerto de llegada,,,,,
,,,,,,,
port of entry,,puerto de entrada,,,,,
,,,,,,,
post bail,,pagar/depositar fianza,,See 'bond' for discussion on 'bail' vs. 'bond'.,,,
,,,,,,,
,,,,,,,
postponement,,"aplazamiento, postergación",,,,,
,,,,,,,
Poverty Guidelines,,línea de pobreza,,See 'Federal Poverty Guidelines'.,,,
,,,,,,,
,, ,,,,,
power of attorney,,"poder, poder notarial",,,,,
,,,,,,,
practitioner,,profesional (de derecho),,"Se practica medicina, pero practicar derecho es lo que uno hace para aprender y prepararse.",,,
,,,,,,,
,,,,,,,
precedent decision,,decisión de precedente,,"While the concept is not native to civil/Roman-law jurisdictions, it is a concept from common/Anglo-Saxon law that is beginning to be known. See Precedente Judicial, by Victoria Iturralde.",,,
,,,,,,,
,,,,,,,
preclude/precluded,,"denegar, denegación anticipada",,"The expression 'to preclude' is a concept that is often used in criminal or civil procedure, wherein a particular legal action or line of questioning cannot move forward, for example because it has previously been litigated and therefore cannot be re-litigated. However, it doesn't have a specific meaning in the Immigration context; if you hear it, it is likely referring to the concept of 'pre-termit'. See 'pre-termit'.",,,
,,,,,,,
,,,,,,,
pre-conclusion voluntary departure,,"salida voluntaria previa a, antes de la resolución del caso",,,,,
,,,,,,,
