english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
,,,,,
injunction,"injunction (in-j3ngk-sh.m), n. (16c) A court order commanding or preventing an action. - To get an injunction, the complainant must show that there is no plain, adequate, and complete remedy at law and that an irreparable injury will result unless the relief is granted. - Also termed writ ofinjunction. See IRREPARABLE- INJURY RULE. [Cases: Injunction C;:::"" 1.1 ""In a general sense, every order of a court which commands or forbids is an injunction; but in its accepted legal sense, an injunction is ajudicial process or mandate operating in personam by which, upon certain established principles of equity, a party is required to do or refrain from doing a particular thing. An injunction has also been defined as a writ framed according to the circumstances of the case, commanding an act which the court regards as essential to justice, or restraining an act which it esteems contrary to equity and good conscience; as a remedial writ which courts issue for the purpose of enforcing their equity jurisdiction; and as a writ issuing by the order and under the
seal of a court of equity."" 1 Howard C. Joyce. A Treatise on the Law Relating to Injunctions § 1, at 2-3 (1909).","orden, mandamiento","(mandamiento) 1. Pen. Acto de comunicación por el que el órgano judicial ordena la práctica de algún acto o diligencia a sujetos determinados. ""Para ordenar el libramiento de certificación o testimonio y la práctica de cualquier diligencia judicial, cuya ejecución corresponda a registradores de la propiedad, notarios, auxiliares o subalternos de juzgados o tribunales y funcionarios de policía judicial que estén a las órdenes de los mismos, se empleará la forma de mandamiento"" (LECrim, art. 186) 2. Proc. Forma que adopta la petición de un órgano judicial a otro de grado inferior para que ejecute una diligencia judicial. (orden) 1. Gral. Forma que revisten algunas decisiones administrativas, como las dictadas por un ministro o un consejero autonomico. 2. Gral. Relación de asuntos. 3. Gral. Mandato dictado por una autoridad judicial o administrativa. 4. Preferencia, preeminencia, jerarquía. (Acepciones 5 y 6 tienen que ver con usos militares y bursátiles).",See 'writ'.,
overrule,"1. To rule against; to reject <the judge overruled all of the defendant's objections>. 2. (Of a court) to overturn or set aside (a precedent) by expressly deciding that it should no longer be controlling law <in Brown v. Board ofEducation, the Supreme Court overruled Plessy v. Ferguson>. Cf. VACATE (1). [Cases: Courts (;=> 100(1).] ""If a decision is not a recent one, and especially if it seems to be very poor, it should not be relied upon without ascertaining whether it may not have been expressly or impliedly overruled by some subsequent one; that is, whether the court may not have laid down a contrary principle in a later case."" Frank Hall Childs, Where and How to Find the Law 94 (1922). ""Overruling is an act of superior jurisdiction. A precedent overruled is definitely and formally deprived of all authority. It becomes null and void, like a repealed statute, and a new principle is authoritatively substituted for the old."" John Salmond, Jurisprudence 189 (Glanville L. Williams ed., 10th ed. 1947).","(objections) no dar lugar; (overrule a decision on appeal) anular, revocar","(revocación) Gral. Acto jurídico por el que se deja sin efecto una declaración unilateral anterior del mismo órgano o entidad. (anular) Gral. Declarar la nulidad de un acto, contrato, disposicón, documento o resolución judicial.","The terms 'uphold' and 'overrule' are a semantic pair that are used in several contexts within the legal world. One context is that of objections during a jury trial; in Spanish, these would be 'dar lugar' and 'no dar lugar', respectively. The appeals process, however, is a completely different context.",
overturn,"overturn, vb. (1842) To overrule or reverse <the court overturned a long-established precedent>.","anular, revocar","(revocación) Gral. Acto jurídico por el que se deja sin efecto una declaración unilateral anterior del mismo órgano o entidad. (anular) Gral. Declarar la nulidad de un acto, contrato, disposicón, documento o resolución judicial.",It would seem that 'overturn' is a synonym of meaning No. 2 of 'overrule'. http://www.enciclopedia-juridica.com/d/revocaci%C3%B3n/revocaci%C3%B3n.htm,
prevail,1. To obtain the relief sought in an action; to win a lawsuit <the plaintiff prevailed in the Supreme Court>. 2. To be commonly accepted or predominant <it's unclear which line of precedent will prevail>.,prosperar,"Gral. Continuar una cosa que ha empezado. ""El quebrantamiento de forma que se denuncia el primer motivo [...] no puede prosperar por las razones que seguidamente se expresan""",,
remand,"1. To send (a case or claim) back to the court or tribunal from which it came for some further action <the appellate court reversed the trial court's opinion and remanded the case for new trial>. Cf. REMOVAL (2). [Cases: Administrative Law and Procedure (;::::::>817; Appeal and Error 1106,1178, 1186; Criminal Law c?1181.5; Federal Courts (;:::;'937, 943; Removal of Cases C-:> 107(8).) 2. To recommit (an accused person) to custody after a preliminary examination <the magistrate, after denying bail, remanded the defendant to custody>.",(1) retrotraer; (2) remitir,,,
reverse,"To overturn (a judgment) on appeal. • Sometimes, the verb is used without a direct object <We reverse>. The equivalent expression in British English is to allow the appeal. [Cases: Appeal and Error ~ 1156-1180; Criminal Law (1187; Federal Courts 932.]",revocar,,,
opinion*,"The decision issued by the Supreme Court of the United States; as such, a dispositive appellate decision, as opposed to the sentence in a first-instance criminal matter.",sentencia,"La decisión emitida por el Tribunal Supremo de España, pues, una decisión resolutoria de segunda instancia.",,
"stand, standing, (a decision) stands","Garner's: "" = to remain good law. E.g., ""Amanda Acquisition Corp. . . . Claimed that the statute was unconstitutional and that if it were allowed to stand, the company's offer would be doomed."" ",ser firme,,,
uphold,,"(objections) dar lugar a; (uphold an appeal) declarar firme (la resolución recurrida o apelada), declarar haber lugar","(sentencia firme) Adm. Sentencia contra la que no cabe interponer recurso alguno, bien por no preverlo la ley, bien porque, estando previsto, ha transcurrido el plazo legalmente fijado sin que ninguna de las partes lo haya presentado.","""Por todo ello debemos declarar haber lugar al recurso de casación interpuesto por…"", STS_1257_2020.",
vacate,1. To nullify or cancel; make void; invalidate <the court vacated the judgment>. Cf. OVERRULE. 2. To surrender occupancy or possession; to move out or leave <the tenant vacated the premises>.,declarar la nulidad,"(nulidad) 1. Gral. Invalidez. 2. Gral. Invalidez, declarada por el órgano competente, de un acto, contrato, resolución o procedimiento, por concurrir alguna de las causas establecidas en las leyes. Puede declararse de oficio, es impresciptible e insusceptible de convalidación o sanación. 3. Gral. Condición o vicio esencial de un acto, contrato, resolución o procedimiento, que determina que pueda instarse contra él y prosperar una acción de nulidad. 4. Can. falta de idoneidad del acto para producir los efectos jurídicos pretendidos en su manifestación. La nulidad comporta el grado más alto de ineficacia jurídica, pues la ineficacia procede del mismo acto. Este es nulo no solo cuando carece de un elemento esencial del acto humano o cuando ha sido expresamente sancionado con la nulidad por falta de requisitos formales previstos ad validatem, sino también cuando falta algún elemento esencial del tipo de acto de que se trata.",,
"(non-legal, general) opinion, report",,opinión,"1. Gral. Juicio, valoración respecto de algo o alguien. 2. Gral. Dictamen, informe, nota.",,
mandate,,mandato,"1. Can. y Civ. Representación, contrato por el que se obliga una persona (mandatario) a prestar algún servicio o hacer alguna cosa por cuenta o encargo de otra (mandante). 2. Gral. Mandamiento, obligación establecida en una disposición o instrucción. 3. Gral. Cargo para el que se es designado durante un tiempo determinado. 4. Int. Pub. Régimen jurídico establecido en el artículo 22 del Pacto de la Sociedad de Naciones por el que se confiaba la tutela de las colonias que hasta entonces pertenecían al Imperio alemán o al otomano a una potencia aliada para que asegurase su bienestar y su desarrollo, tareas que se calificaban como una misión sagrada de civilización. 5. Representación de las personas físicas para llevar a cabo la realización de una encomienda o encargo. 6. Mando o mandamiento.",,
"expert opinion, report",,"dictamen; opinión, informe pericial","(dictamen) 1. Gral. Informe elaborado por técnicos en una determinada materia que actúan como peritos en un proceso. 2. Adm. Informes emitidos por el Consejo de Estado y otros órganos consultivos. 3. Eur. Acto jurídico no vinculante emanado de las instituciones de la UE que contiene generalmente una opinión o valoración sobre situaciones o conductas. 4. Eur. Decisión del Tribunal de Justicia de la UE sobre la compatibilidad de un tratado con el derecho originario de la UE, emitido con anterioridad a la manifestación del consentimiento de la Unión en obligarse por el tratado. En caso de ser negativo, impide la celebración del tratado. 5. Can. Opinión, juicio o valoración técnica que se emite para la posterior emisión de un acto jurídico. ",,
